n,mode,type,bins,avg_ms,mops
4194304,unused,f32,1,6.384162,656.986
4194304,unused,f16,1,117.884424,35.580
4194304,return,f32,1,6.391694,656.212
4194304,return,f16,1,117.279395,35.763
4194304,unused,f32,4,1.598666,2623.628
4194304,unused,f16,4,161.890491,25.908
4194304,return,f32,4,1.598954,2623.155
4194304,return,f16,4,158.842773,26.405
4194304,unused,f32,16,0.402661,10416.470
4194304,unused,f16,16,69.540924,60.314
4194304,return,f32,16,0.403422,10396.805
4194304,return,f16,16,68.603131,61.139
4194304,unused,f32,64,0.270302,15517.081
4194304,unused,f16,64,74.987268,55.934
4194304,return,f32,64,0.271768,15433.399
4194304,return,f16,64,73.927625,56.735
4194304,unused,f32,256,0.137272,30554.694
4194304,unused,f16,256,40.862073,102.645
4194304,return,f32,256,0.140693,29811.790
4194304,return,f16,256,40.326987,104.007
4194304,unused,f32,1024,0.036987,113398.796
4194304,unused,f16,1024,18.651331,224.880
4194304,return,f32,1024,0.040067,104681.738
4194304,return,f16,1024,18.014110,232.834
4194304,unused,f32,4096,0.016150,259702.793
4194304,unused,f16,4096,4.881202,859.277
4194304,return,f32,4096,0.018598,225519.614
4194304,return,f16,4096,5.043102,831.691
